date,location,organiser,Title,band_1,band_2,band_3,band_4,band_5,band_6,poster_url,links
2022-06-11,karabolas,stoa60,Fertility Fest,COSMIC SHADOWS,MELLOW LIZARD,PALESTINI2,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2021-2022/2022-06-11_fertility_black_fest.jpg,
2022-05-28,underground,stoa60,gig,DRY COUGH,HOUSE OF TOLERANCE,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2021-2022/2022-05-28_DRY COUGH_fb.jpg,
2022-04-30,karabolas,stoa60,gig,PROLETKULT RADIO,KICKING NERVE,BABY CULT,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2021-2022/2022-04-30_proletkult.jpg,
2021-11-05,voutes,"rastapank, ba2037",gig,HEKATE,JOJO SAWAVE,HUMACHINES,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2021-2022/2021-11-05_hekate.jpg,
2021-09-25,voutes,"rastapank, stoa60",gig,MELLOW LIZARD,ΟΤΟΜΠΡΙΤΣΙ ΜΟΤΟΡΙ,THYMICS,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2021-2022/2021-09-25_mellow_otobritsi_thymics.jpg,
2021-09-18,karabolas,stoa60,gig,ΑΔΑΕΙΣ,360,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2021-2022/2021-09-18_adaeis.jpg,
2021-09-11,karabolas,stoa60,gig,NERRVES,BABY CULT,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2021-2022/2021-09-11_nerves_babycult.jpg,
2021-07-24,voutes,rastapank,gig,CORTES,MARYSHAW,3ΠΔ,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2020-2021/2021-07-24-cortes.jpg,
2021-05-14,karabolas,stoa60,gig,LOST BODIES,SKLAVOS,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2020-2021/2021-05-14_lost_bodies_sclavos.jpg,
2020-07-11,karabolas,stoa60,gig,DRUMACHINE,THYMICS,MELLOW LIZARD,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2020-07-11_dramachine.jpg,
2020-06-19,walls,ba2037,Party,ENETIKA TEIXI SOIRE,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2020-06-19_TEIXI.jpg,
2020-03-07,underground,stoa60,gig,YELLOW DEVIL SAUCE,OKWAHO,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2020-03-07_yellow-devil-sauce-okwaho.jpg,
2020-02-29,underground,stoa60,gig,NEVER-TRUST,BELOW THE BOTTOM,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2020-02-29_never-trust-below-the-bottom.jpg,
2020-02-15,underground,stoa60,gig,GRANDMASTER COCKROACH,MELLOW LIZARD,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2020-02-15_grandmaster-cockroach-mellow-lizard.jpg,
